2025-06-08T14:11:32.6422121Z;3;205,02;293,14;-80,03;75,56
2025-06-08T14:11:32.6442931Z;4;186,86;284,55;-31,30;30,38
2025-06-08T14:11:36.1023484Z;3;204,22;293,93;-59,07;86,02
2025-06-08T14:11:36.1421712Z;4;6,08;353,44;-52,26;19,92
2025-06-08T14:11:36.1422835Z;0;13,66;350,39;90,85;41,37
2025-06-08T14:11:36.1423021Z;4;10,00;353,39;29,89;32,00
2025-06-08T14:11:36.1425115Z;0;19,57;345,56;58,94;67,49
2025-06-08T14:11:36.1426554Z;4;10,00;358,22;61,80;5,88
2025-06-08T14:11:43.0809144Z;3;227,77;93,83;-81,44;73,94
2025-06-08T14:11:43.0809842Z;4;226,05;112,62;31,14;-46,48
