2025-06-08T14:05:16.7108516Z;2;216,00;289,00;56,54;-19,92
2025-06-08T14:05:16.7126742Z;4;222,00;297,00;-66,11;-85,27
2025-06-08T14:05:22.7836316Z;1;104,04;330,58;-16,92;-35,53
2025-06-08T14:05:22.7837700Z;2;97,59;313,44;-18,98;120,62
2025-06-08T14:05:30.2172267Z;1;359,33;188,11;34,30;100,56
2025-06-08T14:05:30.2172914Z;2;376,18;197,70;-70,21;-15,48
2025-06-08T14:05:36.7851173Z;0;234,06;249,48;97,58;-59,46
2025-06-08T14:05:36.7851747Z;2;251,43;253,08;-58,61;-57,89
2025-06-08T14:05:40.3190030Z;0;49,61;89,50;-51,88;90,39
2025-06-08T14:05:40.3190564Z;3;33,42;79,49;68,58;45,09
2025-06-08T14:05:45.9333047Z;2;261,02;12,84;90,85;26,96
2025-06-08T14:05:45.9334676Z;4;278,29;20,55;-9,42;-15,42
2025-06-08T14:05:48.6673645Z;1;318,79;92,21;-94,51;-27,19
2025-06-08T14:05:48.6673956Z;4;322,02;99,93;-89,98;28,92
